Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.828,5047.5,284.8019241,0.03312,294.2345638,0.03258335,303.8217115,0.032063769
,,0.832,5047.5,284.8019241,0.03328,294.2801321,0.032738209,303.9143365,0.03221373
,,0.836,5040,284.3787414,0.03344,293.8883665,0.032893043,303.5552493,0.032363645
,,0.84,5040,284.3787414,0.0336,293.9338671,0.033047854,303.6477507,0.032513514
,,0.844,5040,284.3787414,0.03376,293.9793677,0.033202641,303.7402591,0.032663338
,,0.848,5040,284.3787414,0.03392,294.0248683,0.033357404,303.8327745,0.032813116
,,0.852,5040,284.3787414,0.03408,294.0703689,0.033512143,303.925297,0.032962849
,,0.856,5032.5,283.9555588,0.03424,293.6781971,0.033666857,303.5654191,0.033112536
,,0.86,5032.5,283.9555588,0.0344,293.72363,0.033821548,303.657818,0.033262178
,,0.864,5032.5,283.9555588,0.03456,293.7690629,0.033976216,303.7502239,0.033411773
,,0.868,5025,283.5323761,0.03472,293.3766202,0.034130859,303.3898162,0.033561324
,,0.872,5025,283.5323761,0.03488,293.4219854,0.034285478,303.4820984,0.033710829
,,0.876,5025,283.5323761,0.03504,293.4673506,0.034440073,303.5743876,0.033860288
,,0.88,5017.5,283.1091935,0.0352,293.0746371,0.034594645,303.21345,0.034009702
,,0.884,5010,282.6860108,0.03536,292.6817882,0.034749192,302.8522439,0.034159071
,,0.888,5010,282.6860108,0.03552,292.7270179,0.034903716,302.9442786,0.034308394
,,0.892,5010,282.6860108,0.03568,292.7722477,0.035058216,303.0363203,0.034457672
,,0.896,5010,282.6860108,0.03584,292.8174774,0.035212692,,
,,0.9,5010,282.6860108,0.036,292.8627072,0.035367144,,
,,0.904,5010,282.6860108,0.03616,292.907937,0.035521572,,
,,0.908,5002.5,282.2628282,0.03632,292.5146141,0.035675976,,
,,0.912,5002.5,282.2628282,0.03648,292.5597761,0.035830357,,
,,0.916,4995,281.8396455,0.03664,292.1662501,0.035984714,,
,,0.92,4995,281.8396455,0.0368,292.2113445,0.036139047,,
,,0.924,4995,281.8396455,0.03696,292.2564388,0.036293356,,
,,0.928,4987.5,281.4164629,0.03712,291.862642,0.036447641,,
,,0.932,4987.5,281.4164629,0.03728,291.9076686,0.036601902,,
,,0.936,4980,280.9932802,0.03744,291.5136686,0.03675614,,
,,0.94,4980,280.9932802,0.0376,291.5586275,0.036910354,,
,,0.944,4980,280.9932802,0.03776,291.6035865,0.037064544,,
,,0.948,4972.5,280.5700976,0.03792,291.2093157,0.03721871,,
,,0.952,4972.5,280.5700976,0.03808,291.2542069,0.037372853,,
,,0.956,4965,280.1469149,0.03824,290.8597329,0.037526972,,
,,0.96,4965,280.1469149,0.0384,290.9045564,0.037681067,,
,,0.964,4965,280.1469149,0.03856,290.9493799,0.037835138,,
,,0.968,4965,280.1469149,0.03872,290.9942035,0.037989186,,
,,0.972,4957.5,279.7237323,0.03888,290.599391,0.03814321,,
